epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1611.83,0.92007,0.45822,1.00321,0.99916,1,0.995,0.90563,0.48901,0.31976,0.80079,0.0008945,0.0008945,0.0008945
69,1635.22,0.88661,0.45051,0.97588,0.99925,1,0.995,0.91123,0.4607,0.30213,0.78817,0.000878,0.000878,0.000878
70,1658.56,0.90147,0.45266,0.97683,0.99947,1,0.995,0.91409,0.44797,0.30327,0.78573,0.0008615,0.0008615,0.0008615
71,1681.9,0.86984,0.4349,0.96308,0.99963,1,0.995,0.91867,0.42651,0.29317,0.78226,0.000845,0.000845,0.000845
72,1705.39,0.88799,0.44646,0.97954,0.99961,1,0.995,0.90979,0.46301,0.29752,0.79022,0.0008285,0.0008285,0.0008285
73,1728.85,0.88725,0.43622,0.98381,0.99969,1,0.995,0.92502,0.43715,0.29549,0.78779,0.000812,0.000812,0.000812
74,1752.21,0.85267,0.42777,0.96688,0.99914,1,0.995,0.91462,0.43958,0.29881,0.78853,0.0007955,0.0007955,0.0007955
75,1775.59,0.91765,0.45819,0.9906,0.99994,1,0.995,0.91503,0.43304,0.2968,0.78281,0.000779,0.000779,0.000779
76,1798.93,0.8955,0.43782,0.98487,0.99904,1,0.995,0.91877,0.43195,0.29808,0.78535,0.0007625,0.0007625,0.0007625
77,1822.29,0.87725,0.43679,0.97487,0.99958,1,0.995,0.91977,0.42682,0.29004,0.78415,0.000746,0.000746,0.000746
78,1845.79,0.86984,0.42985,0.97315,0.9956,1,0.99492,0.90414,0.45881,0.29597,0.7876,0.0007295,0.0007295,0.0007295
79,1869.11,0.88195,0.43957,0.98391,0.99935,1,0.995,0.9162,0.45102,0.29952,0.7891,0.000713,0.000713,0.000713
80,1892.45,0.87499,0.44342,0.98086,0.99963,1,0.995,0.92558,0.43714,0.28864,0.78323,0.0006965,0.0006965,0.0006965
81,1915.85,0.86106,0.43427,0.97281,0.99984,1,0.995,0.91633,0.44144,0.28785,0.77964,0.00068,0.00068,0.00068
82,1939.17,0.86948,0.44105,0.97349,0.98726,1,0.99492,0.91789,0.43895,0.29956,0.77892,0.0006635,0.0006635,0.0006635
83,1962.48,0.88333,0.43799,0.97479,0.99973,1,0.995,0.92718,0.42578,0.28309,0.77827,0.000647,0.000647,0.000647
84,1985.98,0.83877,0.42338,0.95574,0.99543,1,0.99496,0.91873,0.42297,0.28512,0.78176,0.0006305,0.0006305,0.0006305
85,2009.29,0.88139,0.43453,0.9707,0.99597,1,0.995,0.92527,0.41311,0.29431,0.77954,0.000614,0.000614,0.000614
86,2032.62,0.87064,0.42991,0.96465,0.99924,1,0.995,0.93041,0.40131,0.27034,0.77827,0.0005975,0.0005975,0.0005975
87,2055.97,0.83636,0.41284,0.95808,0.99929,1,0.995,0.92938,0.41269,0.27426,0.77927,0.000581,0.000581,0.000581
88,2080.65,0.84691,0.43046,0.96025,0.99937,1,0.995,0.9158,0.40569,0.27366,0.77378,0.0005645,0.0005645,0.0005645
89,2105.57,0.82779,0.40381,0.97087,0.9954,1,0.99496,0.93664,0.40046,0.2674,0.77524,0.000548,0.000548,0.000548
90,2131.09,0.83618,0.40927,0.96369,1,0.99929,0.995,0.92612,0.40079,0.2769,0.777,0.0005315,0.0005315,0.0005315
91,2154.7,0.82983,0.40625,0.94874,0.99556,1,0.995,0.91881,0.43975,0.27843,0.78065,0.000515,0.000515,0.000515
92,2180.43,0.8601,0.41557,0.96517,0.99141,1,0.99496,0.91673,0.43243,0.28047,0.78205,0.0004985,0.0004985,0.0004985
93,2205.19,0.82915,0.40595,0.95387,0.99965,1,0.995,0.93312,0.39752,0.26774,0.77488,0.000482,0.000482,0.000482
94,2231.11,0.83437,0.413,0.97204,0.99971,1,0.995,0.92945,0.4324,0.27575,0.7767,0.0004655,0.0004655,0.0004655
95,2255.34,0.85313,0.41729,0.97624,0.99949,1,0.995,0.92657,0.40708,0.26485,0.77724,0.000449,0.000449,0.000449
96,2278.81,0.84903,0.41558,0.9545,0.99933,1,0.995,0.92504,0.41242,0.26652,0.77658,0.0004325,0.0004325,0.0004325
97,2303.2,0.82869,0.40341,0.95333,0.99975,1,0.995,0.93241,0.40353,0.27015,0.77484,0.000416,0.000416,0.000416
98,2326.76,0.82404,0.39844,0.94626,0.99987,1,0.995,0.92936,0.4007,0.26369,0.7743,0.0003995,0.0003995,0.0003995
99,2350.38,0.83176,0.40205,0.9594,1,0.99987,0.995,0.93531,0.40684,0.26926,0.77321,0.000383,0.000383,0.000383
100,2373.91,0.82758,0.40481,0.95749,0.99942,1,0.995,0.94083,0.38935,0.25649,0.76771,0.0003665,0.0003665,0.0003665
101,2397.67,0.82964,0.39966,0.94542,0.99969,1,0.995,0.93367,0.37891,0.25193,0.76873,0.00035,0.00035,0.00035
102,2421.28,0.79892,0.39363,0.94603,0.99935,1,0.995,0.93988,0.37805,0.25286,0.76627,0.0003335,0.0003335,0.0003335
103,2444.85,0.81332,0.38652,0.95816,0.99909,1,0.995,0.93675,0.37627,0.25169,0.77055,0.000317,0.000317,0.000317
104,2468.5,0.78789,0.38763,0.95138,0.99899,1,0.995,0.93952,0.37412,0.24626,0.76747,0.0003005,0.0003005,0.0003005
105,2492.15,0.82485,0.3977,0.9657,0.99915,1,0.995,0.93932,0.35783,0.24205,0.76848,0.000284,0.000284,0.000284
106,2515.71,0.81583,0.38921,0.95458,0.99928,1,0.995,0.94808,0.36835,0.24536,0.76837,0.0002675,0.0002675,0.0002675
107,2539.46,0.8329,0.40361,0.95659,0.99952,1,0.995,0.93978,0.38213,0.24672,0.76856,0.000251,0.000251,0.000251
108,2563.01,0.81005,0.39178,0.94462,0.99988,1,0.995,0.93961,0.38367,0.2443,0.76725,0.0002345,0.0002345,0.0002345
109,2586.79,0.80194,0.38963,0.94684,0.99976,1,0.995,0.94386,0.37063,0.24312,0.76861,0.000218,0.000218,0.000218
110,2610.1,0.8013,0.38065,0.94659,0.99989,1,0.995,0.94206,0.36284,0.23821,0.76507,0.0002015,0.0002015,0.0002015
111,2634.15,0.77796,0.34224,0.93761,0.99978,1,0.995,0.94649,0.34937,0.23469,0.76442,0.000185,0.000185,0.000185
112,2657.52,0.78052,0.3427,0.92993,0.99976,1,0.995,0.94755,0.35451,0.23581,0.76521,0.0001685,0.0001685,0.0001685
113,2680.78,0.76622,0.33858,0.91736,0.99981,1,0.995,0.94231,0.35986,0.23157,0.76548,0.000152,0.000152,0.000152
114,2704.01,0.77361,0.33934,0.93641,0.99986,1,0.995,0.94992,0.35935,0.23353,0.76584,0.0001355,0.0001355,0.0001355
115,2727.83,0.7563,0.33588,0.91392,0.99985,1,0.995,0.94609,0.36177,0.23249,0.76582,0.000119,0.000119,0.000119
116,2751.46,0.76081,0.3319,0.91896,0.99985,1,0.995,0.94919,0.34854,0.22931,0.76385,0.0001025,0.0001025,0.0001025
117,2774.97,0.75965,0.33265,0.93101,0.99982,1,0.995,0.95008,0.35325,0.22931,0.76394,8.6e-05,8.6e-05,8.6e-05
118,2798.58,0.74965,0.33164,0.91963,0.99982,1,0.995,0.95081,0.35389,0.22371,0.76377,6.95e-05,6.95e-05,6.95e-05
119,2822.11,0.74227,0.3278,0.91264,0.99984,1,0.995,0.95206,0.34917,0.22386,0.76382,5.3e-05,5.3e-05,5.3e-05
120,2845.66,0.74749,0.33075,0.92255,0.99984,1,0.995,0.95119,0.34675,0.22361,0.76359,3.65e-05,3.65e-05,3.65e-05
